Gene Symbol,Gene ID,PCC,Tumor
CD274,ENSG00000120217.13,0.49,BRCA Tumor
GBP5,ENSG00000154451.14,0.47,BRCA Tumor
WARS,ENSG00000140105.17,0.46,BRCA Tumor
STAT1,ENSG00000115415.18,0.45,BRCA Tumor
IRG1,ENSG00000102794.9,0.45,BRCA Tumor
CASP5,ENSG00000137757.10,0.45,BRCA Tumor
CCL8,ENSG00000108700.4,0.45,BRCA Tumor
GBP1,ENSG00000117228.9,0.45,BRCA Tumor
SAMHD1,ENSG00000101347.8,0.44,BRCA Tumor
IFNG,ENSG00000111537.4,0.44,BRCA Tumor
EPSTI1,ENSG00000133106.14,0.44,BRCA Tumor
CXCR2P1,ENSG00000229754.1,0.44,BRCA Tumor
PDCD1LG2,ENSG00000197646.7,0.44,BRCA Tumor
FASLG,ENSG00000117560.7,0.44,BRCA Tumor
TAP1,ENSG00000168394.10,0.43,BRCA Tumor
TRIM69,ENSG00000185880.12,0.43,BRCA Tumor
TFEC,ENSG00000105967.15,0.43,BRCA Tumor
GBP1P1,ENSG00000225492.6,0.42,BRCA Tumor
LRR1,ENSG00000165501.16,0.42,BRCA Tumor
CD86,ENSG00000114013.15,0.42,BRCA Tumor
KLRD1,ENSG00000134539.16,0.42,BRCA Tumor
B2M,ENSG00000166710.17,0.42,BRCA Tumor
APOL6,ENSG00000221963.5,0.42,BRCA Tumor
ADAMDEC1,ENSG00000134028.14,0.42,BRCA Tumor
IRF1,ENSG00000125347.13,0.42,BRCA Tumor
FPR3,ENSG00000187474.4,0.41,BRCA Tumor
LCP2,ENSG00000043462.11,0.41,BRCA Tumor
SLAMF8,ENSG00000158714.10,0.41,BRCA Tumor
FAM26F,ENSG00000188820.12,0.41,BRCA Tumor
PARP14,ENSG00000173193.13,0.41,BRCA Tumor
RP11-10J5.1,ENSG00000226004.1,0.41,BRCA Tumor
CXCL11,ENSG00000169248.12,0.41,BRCA Tumor
LAP3,ENSG00000002549.12,0.41,BRCA Tumor
LAG3,ENSG00000089692.8,0.41,BRCA Tumor
IDO1,ENSG00000131203.12,0.4,BRCA Tumor
CXCL9,ENSG00000138755.5,0.4,BRCA Tumor
HPSE,ENSG00000173083.14,0.4,BRCA Tumor
CD80,ENSG00000121594.11,0.4,BRCA Tumor
KCNJ10,ENSG00000177807.6,0.4,BRCA Tumor
CTSS,ENSG00000163131.10,0.4,BRCA Tumor
CD38,ENSG00000004468.12,0.4,BRCA Tumor
BATF2,ENSG00000168062.9,0.4,BRCA Tumor
SLC7A7,ENSG00000155465.18,0.4,BRCA Tumor
CXCR6,ENSG00000172215.5,0.4,BRCA Tumor
MLKL,ENSG00000168404.12,0.4,BRCA Tumor
ACTR2,ENSG00000138071.13,0.39,BRCA Tumor
CCR5,ENSG00000160791.13,0.39,BRCA Tumor
FYB,ENSG00000082074.15,0.39,BRCA Tumor
CXCL10,ENSG00000169245.5,0.39,BRCA Tumor
FLVCR2,ENSG00000119686.9,0.39,BRCA Tumor
ETV7,ENSG00000010030.13,0.39,BRCA Tumor
LILRB1,ENSG00000104972.14,0.39,BRCA Tumor
PSMB9,ENSG00000240065.7,0.39,BRCA Tumor
PIK3AP1,ENSG00000155629.14,0.39,BRCA Tumor
PRF1,ENSG00000180644.6,0.39,BRCA Tumor
PSMA3,ENSG00000100567.12,0.38,BRCA Tumor
MYD88,ENSG00000172936.12,0.38,BRCA Tumor
NLRC5,ENSG00000140853.15,0.38,BRCA Tumor
IFIH1,ENSG00000115267.5,0.38,BRCA Tumor
FCGR1B,ENSG00000198019.12,0.38,BRCA Tumor
TLR8,ENSG00000101916.11,0.38,BRCA Tumor
IL18BP,ENSG00000137496.17,0.38,BRCA Tumor
SAMD9L,ENSG00000177409.11,0.38,BRCA Tumor
GZMB,ENSG00000100453.12,0.38,BRCA Tumor
ACTR3,ENSG00000115091.11,0.38,BRCA Tumor
CCR1,ENSG00000163823.3,0.38,BRCA Tumor
RP11-202G18.1,ENSG00000227531.1,0.38,BRCA Tumor
OSTF1,ENSG00000134996.11,0.38,BRCA Tumor
MOB1A,ENSG00000114978.17,0.38,BRCA Tumor
SAMSN1,ENSG00000155307.17,0.38,BRCA Tumor
CDKN3,ENSG00000100526.19,0.38,BRCA Tumor
TOMM20P2,ENSG00000255987.1,0.38,BRCA Tumor
LILRB4,ENSG00000186818.12,0.38,BRCA Tumor
ERO1L,ENSG00000197930.12,0.38,BRCA Tumor
IL15RA,ENSG00000134470.19,0.38,BRCA Tumor
TMEM150B,ENSG00000180061.9,0.38,BRCA Tumor
APOL1,ENSG00000100342.20,0.37,BRCA Tumor
PPP3R1,ENSG00000221823.10,0.37,BRCA Tumor
DRAM1,ENSG00000136048.13,0.37,BRCA Tumor
SIGLEC10,ENSG00000142512.14,0.37,BRCA Tumor
NCR1,ENSG00000189430.12,0.37,BRCA Tumor
UBE2A,ENSG00000077721.15,0.37,BRCA Tumor
IL4I1,ENSG00000104951.15,0.37,BRCA Tumor
FCER1G,ENSG00000158869.10,0.37,BRCA Tumor
SOCS4,ENSG00000180008.8,0.37,BRCA Tumor
FCGR3A,ENSG00000203747.9,0.37,BRCA Tumor
PLEK,ENSG00000115956.9,0.37,BRCA Tumor
EXOC5,ENSG00000070367.15,0.37,BRCA Tumor
PSMC2,ENSG00000161057.10,0.37,BRCA Tumor
CALM1,ENSG00000198668.10,0.37,BRCA Tumor
GRIN3A,ENSG00000198785.4,0.37,BRCA Tumor
GBP4,ENSG00000162654.8,0.37,BRCA Tumor
HCP5,ENSG00000206337.10,0.36,BRCA Tumor
CCL4,ENSG00000275302.1,0.36,BRCA Tumor
RAB1A,ENSG00000138069.16,0.36,BRCA Tumor
CYBB,ENSG00000165168.7,0.36,BRCA Tumor
IL21,ENSG00000138684.7,0.36,BRCA Tumor
IFI30,ENSG00000216490.3,0.36,BRCA Tumor
C1QB,ENSG00000173369.15,0.36,BRCA Tumor
ICOS,ENSG00000163600.12,0.36,BRCA Tumor
DIAPH1,ENSG00000131504.15,0.36,BRCA Tumor
KIR2DL4,ENSG00000189013.14,0.36,BRCA Tumor
SLAMF7,ENSG00000026751.16,0.36,BRCA Tumor
STK4,ENSG00000101109.11,0.36,BRCA Tumor
CD226,ENSG00000150637.8,0.36,BRCA Tumor
IL10RB,ENSG00000243646.8,0.36,BRCA Tumor
IL2RG,ENSG00000147168.12,0.36,BRCA Tumor
HLA-DRA,ENSG00000204287.13,0.36,BRCA Tumor
PSMD7,ENSG00000103035.10,0.36,BRCA Tumor
CTD-2288O8.1,ENSG00000248898.1,0.36,BRCA Tumor
C1QC,ENSG00000159189.11,0.36,BRCA Tumor
EIF2S2P4,ENSG00000128692.8,0.36,BRCA Tumor
CMPK2,ENSG00000134326.11,0.35,BRCA Tumor
TRIM21,ENSG00000132109.9,0.35,BRCA Tumor
USP30-AS1,ENSG00000256262.1,0.35,BRCA Tumor
HLA-DMB,ENSG00000242574.8,0.35,BRCA Tumor
RP11-291B21.2,ENSG00000256039.1,0.35,BRCA Tumor
RP11-202A13.1,ENSG00000243832.1,0.35,BRCA Tumor
CENPN,ENSG00000166451.13,0.35,BRCA Tumor
AC083949.1,ENSG00000224875.2,0.35,BRCA Tumor
SLA2,ENSG00000101082.13,0.35,BRCA Tumor
LILRB2,ENSG00000131042.13,0.35,BRCA Tumor
TAP2,ENSG00000204267.13,0.35,BRCA Tumor
FMR1,ENSG00000102081.13,0.35,BRCA Tumor
GPR65,ENSG00000140030.5,0.35,BRCA Tumor
MAPRE1,ENSG00000101367.8,0.35,BRCA Tumor
BAZ1A,ENSG00000198604.10,0.35,BRCA Tumor
WDFY1,ENSG00000085449.14,0.35,BRCA Tumor
CIITA,ENSG00000179583.17,0.35,BRCA Tumor
CCNYL1,ENSG00000163249.9,0.35,BRCA Tumor
CD244,ENSG00000122223.12,0.35,BRCA Tumor
